Tipo_show,Titulo,Diretor,Elenco,Pais,Data_adicao,Ano_lancamento,Class_etaria,Duracao,Genero,Descricao,Media_avaliacao,Num_votos
Movie,Jay And Silent Bob Strike Back,Kevin Smith,"Jason Mewes, Kevin Smith, Ben Affleck, Jeff Anderson, Brian O'Halloran, Shannon Elizabeth, Eliza Dushku, Ali Larter, Jennifer Schwalbach, Will Ferrell, Jason Lee",United States,2019-01-01,2019,18,105 min,"Comedies, Cult Movies","Jay and Silent Bob's comic book alter egos have been sold to Hollywood without permission, so they head to Tinseltown to sabotage the production.",6.8,154642
Movie,Jealousy And Medicine,Janusz Majewski,"Mariusz Dmochowski, Ewa Krzyżewska, Włodzimierz Boruński, Andrzej Mrowiec, Józef Rosiński, Piotr Kąkolewski, Beata Nowicka, Edmund Fetting, Grażyna Staniszewska, Andrzej Łapicki",Poland,2019-01-10,2019,18,97 min,"Dramas, International Movies, Romantic Movies","Tormented by mistrust, a businessman hires a cagey tailor to track his wife's whereabouts with her doctor only to send his mind further down an abyss.",6.0,176
TV Show,Jeopardy!,Sem Diretor,Alex Trebek,United States,2020-12-18,2020,Livre,2 Seasons,Reality TV,"Alex Trebek hosts one of TV's longest-running game shows, where a trio of players buzz in with their knowledge of history, arts, pop culture and more.",8.3,7350
Movie,Jeremy Scott: The People'S Designer,Vlad Yudin,Jeremy Scott,United States,2016-01-04,2016,14,109 min,Documentaries,The journey of fashion designer Jeremy Scott from humble roots on a Missouri farm to creative director of Moschino is charted in this documentary.,6.4,403
TV Show,Jericho,Sem Diretor,"Skeet Ulrich, Lennie James, Ashley Scott, Kenneth Mitchell, Brad Beyer, April Parker-Jones, Alicia Coppola, Pamela Reed, Bob Stephenson, Gerald McRaney, Clare Carey, Richard Speight Jr., Michael Gaston, Erik Knudsen, Shoshannah Stern, Sprague Grayden",United States,2017-08-16,2017,16,2 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Dramas","Jake returns to his Kansas town to collect an inheritance, but a nuclear blast cuts off the outside world and makes him a reluctant leader amid chaos.",7.9,56464
Movie,Jersey Boys,Clint Eastwood,"John Lloyd Young, Erich Bergen, Michael Lomenda, Vincent Piazza, Christopher Walken, Mike Doyle, Renée Marino, Erica Piccininni, Joey Russo, Donnie Kehr, Katherine Narducci, Steve Schirripa",United States,2019-01-01,2019,18,134 min,"Dramas, Music & Musicals","Adapted from the hit Broadway musical, this nostalgic look at the Four Seasons and their bumpy offstage lives stretches across four decades.",6.8,34944
Movie,Jesus: Countdown To Calvary,Gerry Hoban,Hugh Bonneville,"Ireland, United States, France",2019-01-04,2019,16,53 min,"Documentaries, Faith & Spirituality",Host Hugh Bonneville traces Jesus' last days to learn how the execution of an itinerant Jewish preacher had an immense impact on society.,6.9,108
Movie,Jewel'S Catch One,C. Fitz,Jewel Thais-Williams,United States,2018-01-05,2018,18,84 min,"Documentaries, LGBTQ Movies","The story of famed L.A. nightclub Catch One and owner Jewel Thais-Williams, who defied all odds and provided a safe space for black LGBT communities.",7.2,127
Movie,Jimi Hendrix,Joe Boyd,"Jimi Hendrix, Eric Clapton, Billy Cox",United States,2019-01-11,2019,18,102 min,"Documentaries, Music & Musicals","Jimi Hendrix's family, friends, and fellow musicians discuss his life and influence. Hendrix also appears in classic performance footage.",7.7,1727
TV Show,Jinglekids,Sem Diretor,Sem Elenco,Russia,2019-01-04,2019,10,1 Season,Kids' TV,"In a magical wonderland, merry children and their furry friends explore their unique hobbies while making eye-opening discoveries through adventures.",8.3,24
Movie,Jiro Dreams Of Sushi,David Gelb,Jiro Ono,United States,2019-05-06,2019,10,79 min,Documentaries,"This documentary profiles sushi chef Jiro Ono, an 85-year-old master whose 10-seat, $300-a-plate restaurant is legendary among Tokyo foodies.",7.8,35857
Movie,Jis Desh Men Ganga Behti Hai,Radhu Karmakar,"Raj Kapoor, Padmini, Pran, Chanchal, Lalita Pawar, Raj Mehra, Tiwari, Nana Palsikar, Nayampally, Sulochana Chatterjee",País Desconhecido,2019-12-31,2019,16,181 min,"Action & Adventure, Dramas, International Movies","Falling in with a band of outlaws during a holy pilgrimage, a country boy tries to change their violent ways ahead of a showdown with the authorities.",7.1,476
Movie,Joe Cocker: Mad Dog With Soul,John Edginton,Sem Elenco,United Kingdom,2017-01-04,2017,16,90 min,"Documentaries, International Movies, Music & Musicals","From his star turn at Woodstock to his battles with addiction, this film chronicles the stormy life and unique talent of soulful singer Joe Cocker.",7.2,795
